TRADE_CHNL_DESC,TRADE_GROUP_DESC,TRADE_TYPE_DESC
ALL OTHER,OTHER,MIX
AMUSEMENT/RECREATIONAL,ENTERTAINMENT,NON ALCOHOLIC
AUTOMOTIVE SERVICES,SERVICES,NON ALCOHOLIC
BAR/TAVERN/LICENSED EST,ENTERTAINMENT,ALCOHOLIC
CASH + CARRY RETAIL,GROCERY,MIX
CLUB STORE,ENTERTAINMENT,ALCOHOLIC
COLLEGE/UNIVERSITY,ACADEMIC,NON ALCOHOLIC
CONVENIENCE STORE,SERVICES,MIX
DRUG STORE,GROCERY,MIX
GENERAL MERCHANDISER,GROCERY,MIX
GOVERNMENT(NON-MILITARY),GOV & MILITARY,NON ALCOHOLIC
HEALTH / HOSPITAL,ACADEMIC,NON ALCOHOLIC
HYPER-MERCHANDISER,GROCERY,MIX
LIQUOR/BEER/WINE/SOFT,GROCERY,ALCOHOLIC
LOCAL+TRADITIONAL GROCERY,GROCERY,MIX
LODGING,ENTERTAINMENT,ALCOHOLIC
MASS MERCHANDISER,GROCERY,MIX
MILITARY-COMMISARY,GOV & MILITARY,MIX
MILITARY-EXCHANGE,GOV & MILITARY,MIX
MILITARY-OTHER,GOV & MILITARY,MIX
OTHER EATING + DRINKING,SERVICES,MIX
PLANT / OFFICE,SERVICES,MIX
PRIMARY/SECONDARY SCHOOL,ACADEMIC,NON ALCOHOLIC
QUICK SERVICE RESTAURANT,ENTERTAINMENT,ALCOHOLIC
RESTAURANT,ENTERTAINMENT,ALCOHOLIC
RETAIL SPECIALITY SVCS,GROCERY,ALCOHOLIC
SPORT VENUE,ENTERTAINMENT,ALCOHOLIC
SUPERETTE,SERVICES,MIX
SUPERMARKET,GROCERY,MIX
TRANSPORTATION,SERVICES,NON ALCOHOLIC
WHOLESALE,GROCERY,MIX
